11 (D[8]C[16]N[FB5B2383ED8D35559E6EB6461828F0C0]): ((0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0, 0, 1, 1, 1, 1), (0, 0, 0, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 0, 0), (0, 1, 1, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 1, 0, 1), (0, 1, 1, 1, 0, 1, 1, 0), (0, 1, 1, 1, 1, 0, 0, 1), (1, 0, 1, 0, 1, 0, 1, 0), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 1, 1, 1), (1, 1, 0, 0, 0, 0, 0, 1), (1, 1, 0, 0, 0, 1, 0, 0), (1, 1, 0, 1, 1, 0, 1, 0), (1, 1, 0, 1, 1, 1, 1, 1))
12 (D[8]C[16]N[FB5BA3036D8D35D51EEEB646982870C0]): ((0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0, 0, 1, 1, 1, 0), (0, 0, 0, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 0, 1), (0, 1, 1, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 1, 0, 1), (0, 1, 1, 1, 0, 1, 1, 1), (0, 1, 1, 1, 1, 0, 0, 0), (1, 0, 1, 0, 1, 0, 1, 1), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 1, 1, 0), (1, 1, 0, 0, 0, 0, 0, 0), (1, 1, 0, 0, 0, 1, 0, 1), (1, 1, 0, 1, 1, 0, 1, 0), (1, 1, 0, 1, 1, 1, 1, 1))
13 (D[8]C[16]N[BB5BE3036D8D35D51EEEB646D8287080]): ((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0, 1, 1, 1, 0), (0, 0, 0, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 1, 1), (0, 1, 1, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 1, 0, 1), (0, 1, 1, 1, 0, 1, 1, 1), (0, 1, 1, 1, 1, 0, 0, 0), (1, 0, 1, 0, 1, 0, 1, 1), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 1, 1, 0), (1, 1, 0, 0, 0, 0, 0, 0), (1, 1, 0, 0, 0, 1, 1, 1), (1, 1, 0, 1, 1, 0, 1, 0), (1, 1, 0, 1, 1, 1, 0, 1))
14 (D[8]C[16]N[FB1BA3436D8D35D51EEEB646D8287080]): ((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0, 1, 1, 1, 0), (0, 0, 0, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 1, 1), (0, 1, 1, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 1, 0, 1), (0, 1, 1, 1, 0, 1, 1, 1), (0, 1, 1, 1, 1, 0, 0, 0), (1, 0, 1, 0, 1, 0, 1, 1), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 1, 1, 0), (1, 1, 0, 0, 0, 0, 1, 0), (1, 1, 0, 0, 0, 1, 0, 1), (1, 1, 0, 1, 1, 0, 0, 0), (1, 1, 0, 1, 1, 1, 1, 1))
15 (D[8]C[16]N[BB1BE3436D8D35D55EEEB606D8287080]): ((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0, 1, 1, 1, 0), (0, 0, 0, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 1, 1), (0, 1, 1, 0, 0, 0, 0, 0), (0, 1, 1, 0, 1, 1, 0, 1), (0, 1, 1, 1, 0, 1, 1, 1), (0, 1, 1, 1, 1, 0, 1, 0), (1, 0, 1, 0, 1, 0, 1, 1), (1, 0, 1, 0, 1, 1, 0, 0), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 0, 1, 1, 0), (1, 1, 0, 0, 0, 0, 1, 0), (1, 1, 0, 0, 0, 1, 1, 1), (1, 1, 0, 1, 1, 0, 0, 0), (1, 1, 0, 1, 1, 1, 0, 1))
16 (D[8]C[16]N[FB3BC3035D8DB5655E8EB666E828D010]): ((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0, 1, 0, 1, 1), (0, 0, 0, 1, 0, 1, 0, 0), (0, 0, 0, 1, 0, 1, 1, 1), (0, 1, 1, 0, 0, 1, 1, 0), (0, 1, 1, 0, 1, 1, 0, 1), (0, 1, 1, 1, 0, 0, 0, 1), (0, 1, 1, 1, 1, 0, 1, 0), (1, 0, 1, 0, 0, 1, 1, 0), (1, 0, 1, 0, 1, 1, 0, 1), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 1, 0, 1, 0), (1, 1, 0, 0, 0, 0, 0, 0), (1, 1, 0, 0, 0, 0, 1, 1), (1, 1, 0, 1, 1, 1, 0, 0), (1, 1, 0, 1, 1, 1, 1, 1))
17 (D[8]C[16]N[BB3BC3435D8DF5255E8EF626E8689010]): ((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0, 1, 0, 0, 1), (0, 0, 0, 1, 0, 1, 1, 0), (0, 0, 0, 1, 0, 1, 1, 1), (0, 1, 1, 0, 0, 1, 0, 0), (0, 1, 1, 0, 1, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1), (0, 1, 1, 1, 1, 0, 1, 0), (1, 0, 1, 0, 0, 1, 0, 0), (1, 0, 1, 0, 1, 1, 1, 1), (1, 0, 1, 1, 0, 0, 0, 1), (1, 0, 1, 1, 1, 0, 1, 0), (1, 1, 0, 0, 0, 0, 1, 0), (1, 1, 0, 0, 0, 0, 1, 1), (1, 1, 0, 1, 1, 1, 0, 0), (1, 1, 0, 1, 1, 1, 0, 1))
18 (D[8]C[16]N[2FBB5BC3CD7515A10EB6D662EC789800]): ((0, 0, 0, 0, 0, 0, 0, 0), (0, 0, 0, 1, 1, 0, 0, 1), (0, 0, 0, 1, 1, 1, 1, 0), (0, 0, 1, 1, 0, 1, 1, 1), (0, 1, 0, 0, 0, 1, 1, 0), (0, 1, 1, 0, 1, 0, 1, 1), (0, 1, 1, 0, 1, 1, 0, 1), (0, 1, 1, 1, 0, 0, 0, 0), (1, 0, 0, 0, 0, 1, 0, 1), (1, 0, 1, 0, 1, 0, 0, 0), (1, 0, 1, 0, 1, 1, 1, 0), (1, 0, 1, 1, 0, 0, 1, 1), (1, 1, 0, 0, 0, 0, 1, 1), (1, 1, 0, 1, 1, 0, 1, 0), (1, 1, 0, 1, 1, 1, 0, 1), (1, 1, 1, 1, 0, 1, 0, 0))
19 (D[8]C[16]N[D7671BEB3D4DB181BE8E7202D42458E8]): ((0, 0, 0, 1, 0, 1, 1, 1), (0, 0, 0, 1, 1, 0, 1, 0), (0, 0, 1, 0, 0, 1, 0, 0), (0, 0, 1, 0, 1, 0, 1, 1), (0, 1, 0, 0, 0, 0, 0, 0), (0, 1, 0, 0, 1, 1, 1, 0), (0, 1, 1, 1, 0, 0, 0, 1), (0, 1, 1, 1, 1, 1, 0, 1), (1, 0, 0, 0, 0, 0, 0, 1), (1, 0, 0, 0, 1, 1, 0, 1), (1, 0, 1, 1, 0, 0, 1, 0), (1, 0, 1, 1, 1, 1, 0, 0), (1, 1, 0, 1, 0, 1, 1, 1), (1, 1, 0, 1, 1, 0, 0, 0), (1, 1, 1, 0, 0, 1, 1, 0), (1, 1, 1, 0, 1, 0, 1, 1))
20 (D[8]C[16]N[9727BBCBF54519697E5E22C2AC8CF010]): ((0, 0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0, 1, 1, 1, 1), (0, 0, 1, 1, 0, 0, 0, 1), (0, 0, 1, 1, 0, 1, 0, 1), (0, 1, 0, 0, 0, 0, 1, 1), (0, 1, 0, 0, 0, 1, 0, 0), (0, 1, 1, 1, 1, 0, 1, 0), (0, 1, 1, 1, 1, 1, 1, 0), (1, 0, 0, 1, 0, 1, 1, 0), (1, 0, 0, 1, 1, 0, 0, 0), (1, 0, 1, 0, 0, 0, 1, 0), (1, 0, 1, 0, 1, 1, 1, 1), (1, 1, 0, 1, 0, 0, 1, 1), (1, 1, 0, 1, 1, 1, 0, 1), (1, 1, 1, 0, 0, 1, 0, 0), (1, 1, 1, 0, 1, 0, 0, 1))
